participant,participant_index,has_gsr,trial,type,sound,file_A,file_B,choice,A_delta,B_delta,phys_choice,match
20260510_225242_12,11,False,6,AMBIG_DIST,white_noise,audio/white_noise_180.wav,audio/white_noise_270.wav,A,,,,
20260510_225242_12,11,False,7,AMBIG_DIST,tiger,audio/tiger_90.wav,audio/tiger_225.wav,B,,,,
20260510_225242_12,11,False,8,AMBIG_AMBIG,tiger,audio/tiger_180.wav,audio/tiger_225.wav,B,,,,
20260510_225242_12,11,False,9,AMBIG_AMBIG,white_noise,audio/white_noise_0.wav,audio/white_noise_225.wav,A,,,,
20260510_225242_12,11,False,10,AMBIG_DIST,white_noise,audio/white_noise_90.wav,audio/white_noise_315.wav,B,,,,
20260510_225242_12,11,False,11,AMBIG_DIST,tiger,audio/tiger_45.wav,audio/tiger_90.wav,B,,,,
20260510_225242_12,11,False,12,DIST_DIST,tiger,audio/tiger_90.wav,audio/tiger_270.wav,B,,,,
20260510_225242_12,11,False,13,AMBIG_AMBIG,bear,audio/bear_135.wav,audio/bear_45.wav,A,,,,
20260510_225242_12,11,False,14,DIST_DIST,scream,audio/scream_90.wav,audio/scream_270.wav,A,,,,
20260510_225257_13,12,False,1,PRIMING,mixed,audio/bear_0.wav,audio/scream_0.wav,B,,,,
20260510_225257_13,12,False,2,PRIMING,mixed,audio/white_noise_45.wav,audio/tiger_45.wav,B,,,,
20260510_225257_13,12,False,3,AMBIG_DIST,scream,audio/scream_90.wav,audio/scream_135.wav,A,,,,
20260510_225257_13,12,False,4,AMBIG_AMBIG,zombie,audio/zombie_180.wav,audio/zombie_315.wav,A,,,,
20260510_225257_13,12,False,5,AMBIG_DIST,zombie,audio/zombie_270.wav,audio/zombie_315.wav,B,,,,
20260510_225257_13,12,False,6,AMBIG_AMBIG,tiger,audio/tiger_135.wav,audio/tiger_315.wav,B,,,,
20260510_225257_13,12,False,7,AMBIG_AMBIG,tiger,audio/tiger_180.wav,audio/tiger_0.wav,B,,,,
20260510_225257_13,12,False,8,AMBIG_DIST,tiger,audio/tiger_90.wav,audio/tiger_135.wav,B,,,,
20260510_225257_13,12,False,9,DIST_DIST,death_whistle,audio/death_whistle_90.wav,audio/death_whistle_270.wav,A,,,,
20260510_225257_13,12,False,10,AMBIG_DIST,tiger,audio/tiger_0.wav,audio/tiger_270.wav,A,,,,
20260510_225257_13,12,False,11,AMBIG_DIST,death_whistle,audio/death_whistle_270.wav,audio/death_whistle_225.wav,B,,,,
20260510_225257_13,12,False,12,AMBIG_DIST,white_noise,audio/white_noise_270.wav,audio/white_noise_180.wav,B,,,,
20260510_225257_13,12,False,13,DIST_DIST,zombie,audio/zombie_270.wav,audio/zombie_90.wav,A,,,,
20260510_225257_13,12,False,14,DIST_DIST,scream,audio/scream_270.wav,audio/scream_90.wav,B,,,,
20260510_225301_14,13,False,1,PRIMING,mixed,audio/white_noise_135.wav,audio/scream_135.wav,B,,,,
20260510_225301_14,13,False,2,PRIMING,mixed,audio/tiger_180.wav,audio/scream_180.wav,B,,,,
20260510_225301_14,13,False,3,DIST_DIST,white_noise,audio/white_noise_90.wav,audio/white_noise_270.wav,B,,,,
20260510_225301_14,13,False,4,AMBIG_DIST,scream,audio/scream_270.wav,audio/scream_225.wav,B,,,,
20260510_225301_14,13,False,5,AMBIG_DIST,death_whistle,audio/death_whistle_270.wav,audio/death_whistle_135.wav,B,,,,
20260510_225301_14,13,False,6,DIST_DIST,tiger,audio/tiger_90.wav,audio/tiger_270.wav,A,,,,
20260510_225301_14,13,False,7,AMBIG_DIST,tiger,audio/tiger_225.wav,audio/tiger_270.wav,A,,,,
20260510_225301_14,13,False,8,DIST_DIST,death_whistle,audio/death_whistle_270.wav,audio/death_whistle_90.wav,B,,,,
20260510_225301_14,13,False,9,AMBIG_DIST,death_whistle,audio/death_whistle_90.wav,audio/death_whistle_0.wav,B,,,,
20260510_225301_14,13,False,10,AMBIG_AMBIG,zombie,audio/zombie_225.wav,audio/zombie_315.wav,A,,,,
20260510_225301_14,13,False,11,AMBIG_DIST,death_whistle,audio/death_whistle_315.wav,audio/death_whistle_90.wav,A,,,,
20260510_225301_14,13,False,12,AMBIG_AMBIG,death_whistle,audio/death_whistle_0.wav,audio/death_whistle_45.wav,A,,,,
20260510_225301_14,13,False,13,AMBIG_DIST,zombie,audio/zombie_0.wav,audio/zombie_270.wav,A,,,,
