participant,participant_index,has_gsr,trial,type,sound,sound_group,file_A,file_B,choice,A_angle,B_angle,A_kind,B_kind,pair_class,trial_type_matches_inferred,chosen_side,chosen_angle,chosen_is_ambiguous,A_delta,B_delta,phys_choice,match,A_z,B_z,gsr_diff_z,ambig_minus_discrete_z,gsr_choice,gsr_match_z,participant_gsr_mean,participant_gsr_std
20260501_001734_3,2,True,8,AMBIG_DIST,white_noise,white_noise,audio/white_noise_135.wav,audio/white_noise_270.wav,A,135,270,ambiguous,discrete,AMBIG_DIST,True,A,135,1,4.560975609756042,4.560975609756042,B,0.0,-1.1253437625364549,-1.1253437625364549,0.0,0.0,B,0.0,6.680112570356493,1.8831018850844723
20260501_001734_3,2,True,9,AMBIG_DIST,white_noise,white_noise,audio/white_noise_270.wav,audio/white_noise_225.wav,B,270,225,discrete,ambiguous,AMBIG_DIST,True,B,225,1,5.146341463414728,5.146341463414728,B,1.0,-0.8144918334426512,-0.8144918334426512,0.0,0.0,B,1.0,6.680112570356493,1.8831018850844723
20260501_001734_3,2,True,10,AMBIG_DIST,tiger,scary,audio/tiger_315.wav,audio/tiger_90.wav,B,315,90,ambiguous,discrete,AMBIG_DIST,True,B,90,0,6.9268292682927495,6.9268292682927495,B,1.0,0.13101611755074488,0.13101611755074488,0.0,0.0,B,1.0,6.680112570356493,1.8831018850844723
20260501_001734_3,2,True,11,DIST_DIST,tiger,scary,audio/tiger_90.wav,audio/tiger_270.wav,A,90,270,discrete,discrete,DIST_DIST,True,A,90,0,6.170731707317145,5.0731707317072505,A,1.0,-0.27050095752864584,-0.8533483245794521,0.5828473670508063,,A,1.0,6.680112570356493,1.8831018850844723
20260501_001734_3,2,True,12,AMBIG_AMBIG,scream,scary,audio/scream_315.wav,audio/scream_45.wav,A,315,45,ambiguous,ambiguous,AMBIG_AMBIG,True,A,315,1,7.463414634146375,7.463414634146375,B,0.0,0.4159637192199743,0.4159637192199743,0.0,0.0,B,0.0,6.680112570356493,1.8831018850844723
20260501_001734_3,2,True,13,AMBIG_DIST,zombie,scary,audio/zombie_180.wav,audio/zombie_90.wav,A,180,90,ambiguous,discrete,AMBIG_DIST,True,A,180,1,7.63414634146352,7.63414634146352,B,0.0,0.5066288652056822,0.5066288652056822,0.0,0.0,B,0.0,6.680112570356493,1.8831018850844723
20260501_001734_3,2,True,14,AMBIG_AMBIG,zombie,scary,audio/zombie_45.wav,audio/zombie_315.wav,B,45,315,ambiguous,ambiguous,AMBIG_AMBIG,True,B,315,1,6.585365853658459,6.585365853658459,B,1.0,-0.05031417442067075,-0.05031417442067075,0.0,0.0,B,1.0,6.680112570356493,1.8831018850844723
20260501_003029_4,3,True,1,PRIMING,mixed,other,audio/zombie_270.wav,audio/scream_270.wav,A,270,270,discrete,discrete,DIST_DIST,,A,270,0,0.8809953584320738,0.8809953584320738,B,0.0,-2.037109950215874,-2.037109950215874,0.0,,B,0.0,4.935660511452954,1.9904007403190016
20260501_003029_4,3,True,2,PRIMING,mixed,other,audio/death_whistle_315.wav,audio/bear_315.wav,A,315,315,ambiguous,ambiguous,AMBIG_AMBIG,,A,315,1,3.024390243902417,3.024390243902417,B,0.0,-0.9602439492884323,-0.9602439492884323,0.0,0.0,B,0.0,4.935660511452954,1.9904007403190016
20260501_003029_4,3,True,3,AMBIG_DIST,white_noise,white_noise,audio/white_noise_90.wav,audio/white_noise_45.wav,A,90,45,discrete,ambiguous,AMBIG_DIST,True,A,90,0,5.439024390243958,5.439024390243958,B,0.0,0.2528957453614741,0.2528957453614741,0.0,0.0,B,0.0,4.935660511452954,1.9904007403190016
